ID,text,round,result,id,group,label
0,卓越的服务太差,8,0,5,E,0
1,磁碟有问题，已投诉，卓越也回复过退货，至今已2月，无音讯。,96,0,5,E,0
2,现在市面上出现很多版本三国群英传7的伪正版，大家提高警惕，卓越没有预售的话，肯定是还没有上市呢,71,0,5,E,0
3,cs是valve出的，不是暴雪，竟然回有这样的错误,66,0,5,E,0
4,进入股市半年  很多规矩都不知道  这本书对我帮助很大  简洁易懂  郑重推荐,21,1,5,E,0
5,早在网上下了2dvd9（14g啊）的看了，画质和效果超好，dts6.1、杜比多种音效可以选择，而且花絮什么都有，是香港原版的。很想买，但是不喜欢这种卡拉ok的，花絮什么都没有，质量又比原版的差，没什么意思。要是能弄来香港原版的就好了！,30,0,5,E,0
6,"我感觉很好,如能把产品再详细介绍一下那就很有市场份额了.",90,1,5,E,0
7,大家谨慎点，我买回去两天那个摄像头就变得很花，不好用,98,0,5,E,0
8,读的话，很流畅，和书名一样Don't make me think,75,1,5,E,0
9,帮朋友买的，她喜欢得不得了~~~,48,1,5,E,0
10,看到有评论说广告太多，本来要买的，请问是商业广告还是动画本身的预告什么的？？？谢谢了！！！,18,0,5,E,0
11,很想买，但是现在没钱，等发了工资，应该赶得上，那会一定买,15,0,5,E,0
12,内容与网上的介绍大相径庭。再也不买电影片了，还不如接头小巷的地摊片。,40,0,5,E,0
13,人生的经历还不是很多吧，总觉得大师还一直在凡尘中，或许大师是想通过这种方式让读者明白吧。,31,1,5,E,0
14,"超喜欢这个唱片,梦寐以求很久了.",100,0,5,E,0
15,"太垃圾了,收到后,完全开不了机,上网查了,据说看像是显示的DOS状态,应该是刷机不成功导致的,而且售后服务超差,要我们自己拿到维修点检测,像这种拿到手开不了机的应该立刻返回才对,以后再也不上网买东西了!",89,1,5,E,0
16,内容深入浅出，就像一个好朋友伴随整个孕期，共同分享你的变化和感受，也是朋友推荐的，是本好书！,22,1,5,E,0
17,不明白，也许这就是我们和总理的差距吧，晦涩的要命,85,0,5,E,0
