标题/微博内容,round,result,id,group,label
可是刘兰芳的这个评书不是全版啊!,1,0,1,A,0
但不能象Windows机那样编辑word、excel等文档；txt文件虽然可以编辑，但没有复制、剪贴功能，编辑时很费事。这一点说到底是操作系统的问题。 在用户自己安装软件时非常繁琐，不像SP系统，用类似于windows的方法来安装，所以说虽然也是智能手机，但是对用户不友好，这不利于手机的传播推广。以上是我感受到的A1200的遗憾之处，但是与目前同价位的其他机型相比，A1200有很多优点，而且它的优点远超过它的缺点。,2,0,1,A,0
第一首歌声音挺好，第２首后基本听不到，调到最大声也没用，根本没用。整个碟只能听一首，真扫兴,3,0,1,A,0
英文就叫南朝鲜，中国以前的属国，日本以前的殖民地，现在生活在美利坚合众国的屁股下，自诩为“大韩民国”，不过这个称呼只有中国人民才会这样叫！！！民间称呼：高丽棒子！     这是一个自恋、自夸、自吹自擂的民族，喜欢吹牛和盗窃！对中国，盗窃历史！对欧美，盗窃技术！     这是一个喜欢自相残杀的民族，两边都不亦乐乎！彼此鼓吹自己是最优等的民族（估计，只有希特勒才会如此自恋）！！！     这个民族，喜欢欺压善良的中国人！在亚冬会上，举起“长白山是韩国的”标语，在汉城的小商店里，广告牌上写着“中国人不要触摸”，。在汽车专卖店外面，写着“中国人不许进入”，更有甚者，一个宠物商店广告牌上，印着天安门，可是两边的标语换成了朝鲜蝌蚪文，中间毛主席的头像居然是一只白狗！！！！ 我不明白，为什么中国人要哈韩！,4,0,1,A,0
这个手机市场价也就400  能卖到这么多 真牛,5,0,1,A,0
这个还好啊。,6,0,1,A,0
"首先,不能DVD播放,因为里面全市RMVB格式!第二,音质差,单声道不能改!第三,画质差,录像自电视的,还压缩,效果可想而知其他没什么好说的了,没买过的不要买",7,0,1,A,0
支持KOBE  支持卓越,8,0,1,A,0
一点用都没有，差不多只是简单的软件介绍,9,0,1,A,0
是冲着待机时间长才买的这部手机。在充分放电、充电很多次以后，在信号很好的环境下，一周一到两个电话左右，每次电话不超过2分钟，每天短信不超过5条：也只能待机不到7天。出差回到北京后，基本上冲一次电只能用4天左右：一天平均1到两个电话，每天短信5条左右。很令人失望。注意到电池上的系列号与装箱单不符。而且电池是哈尔滨产的。不知道跟这个有没有原因。此外被很多人诟病的音乐播放不能设成后台播放的确非常讨厌：必须中断音乐播发才能看短信！,10,0,1,A,0
1、送货快2、纸张印刷有点粗。3、内容看了再说。,11,0,1,A,0
买这个东西都快把人气死了，快递态度奇差，真不晓得卓越这么大的公司怎么会找素质这么差的快递，不会是图便宜吧，如果是这样，我会告诉我认识的所有人再也不要买卓越的东西。我买的是磁带，回家一听 更气，质量也是一样的垃圾，八个磁带有三个是完全不能放出声音的，卓越这种品质，我想也做不了多久了！！！！,12,0,1,A,0
RT，如果送的话就定了。汉之云和幻34都送海报和预购卡呢~,13,0,1,A,0
"我是2月26日订购联想S660黑色价格1197.8元,3月6日收到货,今天一看卓越价格下调到1186.8元,手机好用,价格变动快,可心情正在郁闷中!",14,0,1,A,0
不好懂，感觉逻辑顺序不太清楚，不知道作者想要表达什么观点。以后打死都不买这类的书了，感觉跟天书一样。读百本书，不如好书读百遍。有种想把这本书立马扔垃圾桶的冲动。,15,0,1,A,0
2次都这样了，究竟是有货还是没货啊,16,0,1,A,0
我上周买了一套送给我外甥，昨天他告诉我说，其中有一半由于激光没打上，根本读不出，建议别人不要再买了！,17,0,1,A,0
歌和伴奏都不错，就是遗憾的是不是原唱，效果大打折扣,18,1,1,A,0
买的DVD，好后悔，应该买VCD的……,19,0,1,A,0
我不了解大家讨论的什么第1版Y线，错版，双TITLE什么的，单从影片来看，绝对正中我的胃口，正片有4条音轨，弘艺对此碟做得不错！,20,1,1,A,0
我于09年4月下旬买了<<生产制造型企业内部培训体系建立>>(主讲 许盛华)共四张光盘。谁知道，放在电脑中一打开才发现，首尾两张盘居然是空白盘！我觉得此事严重影响了卓越网在我心目中的形象。我觉得自己对卓越一直以来的信赖受到的严重伤害！我不清楚卓越网是否看到了他一直以来最忠实的客户的信赖在哭泣！,21,0,1,A,0
"KID的经典作品,给人一种夏日的热烈和秋日凉爽的回忆.",22,1,1,A,0
看起来不错！要是我就选英文版！,23,1,1,A,0
刚拿到碟，连看了两遍，每一个瞬间都很精彩，确实是试音的首选！最喜欢亨德尔《水上音乐》选段，英国协奏团是坐在船上点起蜡烛，戴着17世纪的假发，用巴洛克时代的古乐器演奏的。船上乐手演奏的音乐高雅而别致，正好与岸边车水马龙的繁华夜景形成了极鲜明的对比。要是能置身船上欣赏《水上音乐》，那真是太惬意了。,24,1,1,A,0
终于来了！一定要买的啊！！！！他们的音乐真的很棒！！！！想给十颗星啊！！！！,25,1,1,A,0
昨天已经是6.9元了，今天正准备和另一本书一起买，突然就升价为8.2元了！！！！,26,0,1,A,0
同时买了VCD DVD两个版本的，发现还是DVD的比较实用,27,0,1,A,0
"虽然讲的还是很简略,但大家的风范非常值得感受.",28,1,1,A,0
请问之前卖什么价钱？,29,0,1,A,0
音乐性很好的CD，很超值，录音效果也不错。推荐。,30,1,1,A,0
越听越喜欢，听着特舒服~~~,31,1,1,A,0
关注卓越上面的这款958太久太久了，但是就是一直没有到货。我哭！！！！！,32,0,1,A,0
东西很好，一家人都抢着玩，连电脑都扔一边了。唯一的缺憾是材质稍差了些。,33,1,1,A,0
虽然已经降了点儿，但是还是贵，锐意才7790.,34,1,1,A,0
拿在手了我那个感动啊~~图片也多~~想粗略了解历史的话已经足够了~就是部分编排有些乱~不过没办法——图多嘛~~呵呵~,35,1,1,A,0
收到的时候没有验货，拿到家一看是破的，郁闷。现在还没使用，不知道效果如何，大家一定要现场验货,36,0,1,A,0
东野圭吾的小说在情节上总是一环紧扣一环，读起来十分过瘾！书中的情感虽然极端，但相当动人。一个眼神，一声问候，可以拯救也足以毁灭一个人。总觉得东野圭吾的小说宿命论很重，所有的一切为什么会发生呢？也许，我们只能将其称为——命运！,37,1,1,A,0
买了无限风尚，很开心的准备玩，结果需要原程序支持，根本现在都没有模拟2的原程序卖了，卓越就没有，也不讲清楚，这不吭我吗，大家都看好了再买啊,38,0,1,A,0
都很好听,39,1,1,A,0
从大学时候开始就非常喜欢亦舒的书，但是这本有点失望！故事有点不知所云，和亦舒早期的作品相比差太远了！买了有点失望和后悔！,40,0,1,A,0
好高兴！要赶快买才行！！！,41,1,1,A,0
我的也没有卡片?怎么回事?卓越有人出来回应一下............,42,0,1,A,0
周六收到的货，这次卓越比以往送货速度都快了很多，比订单里给出的时间提前了两三天，而且书的质量也不错！下面说说这本书吧！我同时还买了《1000个思维游戏》都很喜欢，不过两套叔叔于不同的风格。《让孩子着迷的77X2个经典科学游戏 》确实名实相符，其中有一些自己上学时老师曾做过的类似的科学游戏，现在买来给上小学的孩子看看，有空在一起找家里有的材料做一下，这样不仅能够培养孩子的动手、思维能力，也能引起他对科学，尤其是物理、化学的兴趣！比如把一个空的牛奶瓶里装热水之后倒空，然后快速的把剥了皮的熟鸡蛋小头向下放在瓶口上，来观察：比牛奶瓶口大的鸡蛋会进入瓶内的过程，让孩子了解气压作用的原理！等等。有些理论或原理是用几句话不应定能说清，但是有了直观的操作，会更容易理解一些！,43,1,1,A,0
孩子很喜欢，已经能够跟着光盘说的很好了！,44,1,1,A,0
"10月25号到的货我没有签收,到今天11月6号钱还没退给我,妈妈的,卓越就是一个垃圾",45,0,1,A,0
宝宝非常喜欢，很不错的商品，就是没有用普通话讲解。,46,1,1,A,0
原来只是为了魔笛花腔而买，后来发现都很好听，非常值得，美中不足就是声音有点小，呵呵,47,1,1,A,0
我们70后的，小时候常这类老片子。抽空看看，回味一番。,48,1,1,A,0
这个相机很垃圾,49,0,1,A,0
还不错的一本财务入门书,50,0,1,A,0
按这个价位的产品来说还是不错的，不过讲究质量还是三四为好,51,1,1,A,0
可是刘兰芳的这个评书不是全版啊!,1,0,4,A,0
但不能象Windows机那样编辑word、excel等文档；txt文件虽然可以编辑，但没有复制、剪贴功能，编辑时很费事。这一点说到底是操作系统的问题。 在用户自己安装软件时非常繁琐，不像SP系统，用类似于windows的方法来安装，所以说虽然也是智能手机，但是对用户不友好，这不利于手机的传播推广。以上是我感受到的A1200的遗憾之处，但是与目前同价位的其他机型相比，A1200有很多优点，而且它的优点远超过它的缺点。,2,0,4,A,0
第一首歌声音挺好，第２首后基本听不到，调到最大声也没用，根本没用。整个碟只能听一首，真扫兴,3,0,4,A,0
